Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	S:\Proteomics_Restored\6883\DIA\raw\B000254_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA.raw	S:\Proteomics_Restored\6883\DIA\raw\B000258_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA.raw	S:\Proteomics_Restored\6883\DIA\raw\B000262_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA.raw	S:\Proteomics_Restored\6883\DIA\raw\B000278_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA_2.raw	S:\Proteomics_Restored\6883\DIA\raw\B000282_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA_2.raw	S:\Proteomics_Restored\6883\DIA\raw\B000286_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA_2.raw	S:\Proteomics_Restored\6883\DIA\raw\B000302_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA_3.raw	S:\Proteomics_Restored\6883\DIA\raw\B000306_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA_3.raw	S:\Proteomics_Restored\6883\DIA\raw\B000310_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA_3.raw
P22213	SLY1_YEAST	SLY1	Protein SLY1	18	18	6.57088e+07	6.67685e+07	6.06439e+07	6.31055e+07	6.39205e+07	6.23434e+07	6.83107e+07	6.84708e+07	6.86827e+07
P22214	SEC22_YEAST	SEC22	Protein transport protein SEC22	5	5	1.32595e+07	1.30059e+07	1.25358e+07	1.61343e+07	1.49809e+07	1.41668e+07	1.40457e+07	1.48068e+07	1.38881e+07
P22215	SLY41_YEAST	SLY41	Uncharacterized transporter SLY41	2	2	1.42947e+06	1.42091e+06	1.21319e+06	1.10945e+06	983610	1.38349e+06	1.26775e+06	1.67465e+06	1.18424e+06
P22216	RAD53_YEAST	RAD53	Serine/threonine-protein kinase RAD53	4	4	1.03054e+06	848634	964818	595148	885156	1.01186e+06	1.24764e+06	944752	1.03051e+06
P22217	TRX1_YEAST	TRX1	Thioredoxin-1	7	5	7.50117e+08	7.787e+08	6.79855e+08	7.6071e+08	7.71426e+08	7.21627e+08	7.99282e+08	7.15489e+08	7.52188e+08
P22219	VPS15_YEAST	VPS15	Serine/threonine-protein kinase VPS15	5	5	1.20121e+06	1.22709e+06	945619	925502	1.07958e+06	988342	975530	909935	1.24595e+06
P22224	SEC15_YEAST	SEC15	Exocyst complex component SEC15	13	13	3.72582e+06	3.80578e+06	3.05916e+06	3.67323e+06	3.52641e+06	3.52819e+06	3.42196e+06	4.54472e+06	4.28476e+06
P22276	RPC2_YEAST	RET1	DNA-directed RNA polymerase III subunit RPC2	12	12	1.22299e+07	1.24343e+07	1.33225e+07	1.03753e+07	1.31688e+07	1.33514e+07	1.4764e+07	1.27546e+07	1.74651e+07
P22336	RFA1_YEAST	RFA1	Replication factor A protein 1	27	27	1.93922e+07	2.07138e+07	2.09263e+07	1.99304e+07	1.97989e+07	2.05044e+07	1.96869e+07	2.04112e+07	1.98675e+07
P22434	PDE1_YEAST	PDE1	3',5'-cyclic-nucleotide phosphodiesterase 1	1	1	2.27651e+06	2.44614e+06	2.2241e+06	2.37139e+06	2.31996e+06	2.66024e+06	2.26406e+06	2.51752e+06	3.11384e+06
P22438	SYMM_YEAST	MSM1	Methionine--tRNA ligase, mitochondrial	2	2	238897	220362	232060	241334	231951	153347	208000	340386	217929
P22470	SAN1_YEAST	SAN1	Protein SAN1	6	6	1.58699e+06	1.35848e+06	1.46096e+06	1.45006e+06	1.3319e+06	1.35399e+06	1.29784e+06	1.54306e+06	1.3123e+06
P22515	UBA1_YEAST	UBA1	Ubiquitin-activating enzyme E1 1	42	42	1.26942e+08	1.29995e+08	1.25082e+08	1.33627e+08	1.28854e+08	1.27795e+08	1.2518e+08	1.31651e+08	1.23847e+08
P22517	KCC2_YEAST	CMK2	Calcium/calmodulin-dependent protein kinase II	16	16	1.22828e+07	1.26363e+07	1.27442e+07	1.15201e+07	1.2367e+07	1.19719e+07	1.23216e+07	1.24846e+07	1.24387e+07
P22543	VPS34_YEAST	VPS34	Phosphatidylinositol 3-kinase VPS34	2	2	112652	111338		84635.9	101387	117904	99821.5	104091	100820
P22579	SIN3_YEAST	SIN3	Transcriptional regulatory protein SIN3	23	23	6.9707e+06	7.26582e+06	6.61129e+06	6.8529e+06	6.47802e+06	6.51176e+06	6.38471e+06	6.28782e+06	6.98134e+06
P22696	ESS1_YEAST	ESS1	Peptidyl-prolyl cis-trans isomerase ESS1	10	10	2.23055e+07	2.14694e+07	2.39153e+07	2.13245e+07	2.27187e+07	2.33742e+07	2.23354e+07	2.36094e+07	2.25167e+07
P22768	ASSY_YEAST	ARG1	Argininosuccinate synthase	14	14	2.0234e+07	1.97668e+07	1.89524e+07	1.80029e+07	1.87058e+07	1.85992e+07	1.88923e+07	1.94048e+07	1.95785e+07
P22803	TRX2_YEAST	TRX2	Thioredoxin-2	5	5	5.90838e+08	6.10314e+08	6.27887e+08	6.85741e+08	6.40033e+08	6.14645e+08	6.08428e+08	6.18479e+08	6.89185e+08
P22804	BET1_YEAST	BET1	Protein transport protein BET1	4	4	5.8781e+06	5.95159e+06	5.95517e+06	5.41402e+06	5.00254e+06	4.29271e+06	5.30581e+06	6.85283e+06	6.12541e+06
P22855	MAN1_YEAST	AMS1	Alpha-mannosidase	40	40	1.24791e+07	1.21653e+07	1.20462e+07	1.20956e+07	1.26774e+07	1.22598e+07	1.27614e+07	1.26853e+07	1.24584e+07
P22936	APN1_YEAST	APN1	Apurinic-apyrimidinic endonuclease 1	12	12	6.04734e+06	5.954e+06	6.11788e+06	5.84197e+06	6.30568e+06	5.94826e+06	6.4282e+06	6.16224e+06	5.77372e+06
P22943	HSP12_YEAST	HSP12	12 kDa heat shock protein	7	7	1.32078e+09	1.2662e+09	1.39553e+09	1.40728e+09	1.35966e+09	1.51571e+09	1.54671e+09	1.42798e+09	1.10613e+09
P23060	MAK32_YEAST	MAK32	Protein MAK32	1	1	325715	168290	341812	327901	379194	330776	256858	245795	372363
P23180	AIM17_YEAST	AIM17	Probable oxidoreductase AIM17	12	12	6.44722e+07	6.419e+07	7.08882e+07	6.91304e+07	6.49623e+07	7.10384e+07	6.3639e+07	7.00621e+07	7.05368e+07
P23201	SPA2_YEAST	SPA2	Protein SPA2	32	32	5.2759e+06	5.18357e+06	5.62824e+06	5.09002e+06	5.22876e+06	4.88728e+06	5.21142e+06	5.34599e+06	5.31695e+06
P23202	URE2_YEAST	URE2	Transcriptional regulator URE2	9	9	8.17342e+06	8.49532e+06	9.71528e+06	8.8585e+06	1.12302e+07	8.65658e+06	9.21762e+06	9.92328e+06	9.4265e+06
P23248	RS3A2_YEAST	RPS1B	Small ribosomal subunit protein eS1B	15	3	5.92234e+08	6.2053e+08	5.99249e+08	6.27341e+08	6.08747e+08	6.30709e+08	6.02492e+08	5.99877e+08	6.03646e+08
P23254	TKT1_YEAST	TKL1	Transketolase 1	28	27	2.25145e+08	2.27031e+08	2.31078e+08	2.1578e+08	2.30178e+08	2.36246e+08	2.21547e+08	2.28938e+08	2.1836e+08
