Channel	Condition	Run	BioReplicate	Mixture	Fraction	TechRepMixture	File.Name	Duration	Diet	runCol	quantCols
129N	Long_HF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X129_N	PAMI-194_Mouse_U-Dd	40ug_26pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Long	HF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Abundance..129N
129N	Long_HF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X129_N	PAMI-194_Mouse_U-Dd	40ug_20pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Long	HF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Abundance..129N
129C	Short_HF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X129_C	PAMI-194_Mouse_U-Dd	40ug_26pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Short	HF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Abundance..129C
129C	Short_HF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X129_C	PAMI-194_Mouse_U-Dd	40ug_20pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Short	HF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Abundance..129C
130N	Long_HF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X130_N	PAMI-194_Mouse_U-Dd	40ug_26pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Long	HF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Abundance..130N
130N	Long_HF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X130_N	PAMI-194_Mouse_U-Dd	40ug_20pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Long	HF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Abundance..130N
130C	Norm	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X130_C	PAMI-194_Mouse_U-Dd	40ug_26pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Norm	Norm	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Abundance..130C
130C	Norm	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X130_C	PAMI-194_Mouse_U-Dd	40ug_20pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Norm	Norm	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Abundance..130C
131	Short_LF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X131	PAMI-194_Mouse_U-Dd	40ug_26pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Short	LF	PAMI-194_Mouse_U-Dd_TMT_40ug_26pctACN_25cm_120min_20160426_OT.raw	Abundance..131
131	Short_LF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	PAMI-194_Mouse_U-Dd.X131	PAMI-194_Mouse_U-Dd	40ug_20pctACN_25cm_120min_20160426	1	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Short	LF	PAMI-194_Mouse_U-Dd_TMT_40ug_20pctACN_25cm_120min_20160426_OT.raw	Abundance..131
